DATE,ANALYST,TIME SENT,EVENT DAY,EVENT START,LOCATION,SPORT,EVENT TYPE,EVENT,RACE,NO.,SELECTION,UNITS INVESTED,MARKET ADVICE,BET TYPE,MARKET LINE / TOTAL,RECOMMENDED PRICE,RECORDING METHOD,ODDS ,RESULT,UNITS COLLECTED,P/L,CUMULATIVE P/L,CUMULATIVE UNITS INVESTED,POT%,ROI%,PROFIT ($100 UNIT),BET WIN LOSE,PRICE,COMMISION,EMAIL ODDS,AVAILABLE ODDS,BEST FIXED EMAIL SENT,BEST FIXED CLOSING,BETFAIR SP,BOB/BTSP,BEST TOTE,AGENCY,EMAIL BEST LINE / TOTAL,EMAIL BEST ODDS,RESULT,CLOSING LINE,CLOSING PINNACLE,CLOSING BETFAIR,RESULT,EMAIL,GOAT,BFSP,TF,SP,EMAIL,Mid Tote,GOAT,BFSP
14-07-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Scone,,,Cleavvanicc,3.5,,Place,,,,2,W,7,3.5,335,4326.7,7.70%,335.00%,"$33,501.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Scone,,,Kijilto,0.5,,Win,,,,4.4,L,0,-0.5,334.5,4327.2,7.70%,334.50%,"$33,451.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Scone,,,Kijilto,2,,Place,,,,1.8,L,0,-2,332.5,4329.2,7.70%,332.50%,"$33,251.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Scone,,,Levine,2.5,,Win,,,,2.2,L,0,-2.5,330,4331.7,7.60%,330.00%,"$33,001.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Scone,,,Nauvua Mist,0.5,,Win,,,,6,W,3,2.5,332.5,4332.2,7.70%,332.50%,"$33,251.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Scone,,,The Baker,1.5,,Win,,,,3,L,0,-1.5,331,4333.7,7.60%,331.00%,"$33,101.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Longchamp Lass,0.5,,Win,,,,6,L,0,-0.5,330.5,4334.2,7.60%,330.50%,"$33,051.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Longchamp Lass,2,,Place,,,,1.8,L,0,-2,328.5,4336.2,7.60%,328.50%,"$32,851.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Nationailty,1,,Win,,,,8,L,0,-1,327.5,4337.2,7.60%,327.50%,"$32,751.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Tamara,0.5,,Place,,,,12,L,0,-0.5,327,4337.7,7.50%,327.00%,"$32,701.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Tunero,1.5,,Win,,,,12,L,0,-1.5,325.5,4339.2,7.50%,325.50%,"$32,551.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Tunero,2,,Place,,,,3,L,0,-2,323.5,4341.2,7.50%,323.50%,"$32,351.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
