DATE,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
11-Oct-20,16:20,SUNSHINE COAST,5,1 – ZAWADI,,,LATE,SCRATCHING
11-Oct-20,16:55,HAWKESBURY,7,13 – SO FAR AWAY,T.BERRY,542,WINNER,$1.55 /$1.11
11-Oct-20,17:30,GERALTON,2,4 – YAMATAI,L.RAMOLY(A),334,,
11-Oct-20,17:35,HAWKESBURY,8,5 – BUDHWAR,"K,LATHAM",342,2ND,/$1.85
11-Oct-20,17:45,SUNSHINE COAST,7,15 – LOVE MY SUPER,S.CORMACK,1,3RD,/$1.44
,,,,,,,,
,,,,,,,,
,,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
10-Oct-20,12:50,CAULFIELD,2,3 – SWATS THAT,J.ALLEN,X21,WINNER,$3.00/ $1.37
10-Oct-20,13:10,RANDWICK,1,3 – SCARLEO,N.RAWILLER,811,,
10-Oct-20,13:18,DOOMBEN,1,1 – MAGIC CONQUEROR (BEST BET),L.CASSIDY,141,2ND,/$1.40
10-Oct-20,13:25,CAULFIELD,3,6 - WINDSTORM,W.PIKE,421,WINNER,$1.85 /$1.20
10-Oct-20,13:34,GOLD COAST,1,1 – STUBAI,R.WIGGINS,411,2ND,/$1.40
10-Oct-20,13:45,RANDWICK,2,2 – DOUBTLAND,B.AVDULLA,X51,,
10-Oct-20,13:48,PORT MACQUARIE,2,3 – MARRIED,M.WEIE(A),0X2,WINNER,$4.90 /$1.85
10-Oct-20,13:56,ALBURY,1,5 - CLEVER CONNECTION,J.MALLYON,X32,,
10-Oct-20,14:00,CAULFIELD,4,7 – LYRE,J.KAH,X26,,
10-Oct-20,14:04,KEMBLA GRANGE,2,2 – ABSOLUTE LEGEND,C.GRAHAM(A),213,,
10-Oct-20,14:09,GOLD COAST,2,1 – BACK WHEN,R.WIGGINS,2,LATE,SCRATCHING
10-Oct-20,14:20,RANDWICK,3,9 – CRIADERAS,R.KING,X13,WINNER,$2.15 /$1.25
10-Oct-20,14:23,PORT MACQUARIE,3,1 – DESTACADO,S.LISNYY,441,,
10-Oct-20,14:35,CAULFIELD,5,4 –ORDER OF COMMAND,D.OLIVER,3X3,,
10-Oct-20,14:39,KEMBLA GRANGE,3,10 – PRINCE INVINCIBLE,J.PENZA,663,2ND,/$1.80
10-Oct-20,14:46,MORPHETVILLE,4,11 - VANCOUVER VELVET,J.HOLDER,0X2,2ND,/$1.87
10-Oct-20,14:55,RANDWICK,4,6 – VEGAS JEWEL,T.STOCKDALE(A),372,,
10-Oct-20,15:06,ALBURY,3,10 – KENELEM,J.RICHARDS(A),2X2,WINNER,$3.00 /$1.57
10-Oct-20,15:10,CAULFIELD,6,6 – RUSSIAN CAMELOT,D.OLIVER,X21,2ND,/$1.15
10-Oct-20,15:30,RANDWICK,5,2 – PELTZER,T.CLARK,245,WINNER,$2.94 /$1.71
10-Oct-20,15:34,ASCOT,1,2 – MIAMI CITY,M.PATEMAN,332,,
10-Oct-20,15:42,DOOMBEN,5,3 – FUN FACT,J.ORMAN,263,,
10-Oct-20,15:50,CAULFIELD,7,1 – HUNGRY HEART,H.BOWMAN,251,,
10-Oct-20,15:56,ALICE SPRINGS,1,2 – MODERNA’S ARROW (BEST BET),W.KERFORD,522,,
10-Oct-20,15:59,GOLD COAST,5,2 - CONCEALED DYNAMITE,L.TILLEY,543,,
10-Oct-20,16:10,RANDWICK,6,1 – ALLIGATOR BLOOD (BEST BET),R.MALONEY,0X3,2ND,/$1.29
10-Oct-20,16:22,DOOMBEN,6,2 – BATANGAS ENTRY,J.ORMAN,2X1,WINNER,$4.40 /$1.83
10-Oct-20,16:30,CAULFIELD,8,1 – TAGALOA,C.WILLIAMS,X36,,
10-Oct-20,16:50,RANDWICK,7,13 – MONTEFILIA,J.COLLETT,141,WINNER,$3.50 /$1.67
10-Oct-20,17:02,DOOMBEN,7,11 – HEARTS LIFTED,J.G-CHEST,722,2ND,/$1.80
